INDEX,YEAR,MONTH,DAY,AIRLINE,FLIGHT_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,SCHEDULED_TIME,AIR_TIME,DISTANCE,SCHEDULED_ARRIVAL
0,2015,1,1,AS,98,ANC,SEA,5,205.0,169.0,1448,430
1,2015,1,1,AA,2336,LAX,PBI,10,280.0,263.0,2330,750
2,2015,1,1,US,840,SFO,CLT,20,286.0,266.0,2296,806
3,2015,1,1,AA,258,LAX,MIA,20,285.0,258.0,2342,805
4,2015,1,1,AS,135,SEA,ANC,25,235.0,199.0,1448,320
5,2015,1,1,DL,806,SFO,MSP,25,217.0,206.0,1589,602
6,2015,1,1,NK,612,LAS,MSP,25,181.0,154.0,1299,526
7,2015,1,1,US,2013,LAX,CLT,30,273.0,228.0,2125,803
8,2015,1,1,AA,1112,SFO,DFW,30,195.0,173.0,1464,545
9,2015,1,1,DL,1173,LAS,ATL,30,221.0,186.0,1747,711
10,2015,1,1,DL,2336,DEN,ATL,30,173.0,133.0,1199,523
11,2015,1,1,AA,1674,LAS,MIA,35,268.0,238.0,2174,803
12,2015,1,1,DL,1434,LAX,MSP,35,214.0,188.0,1535,609
13,2015,1,1,DL,2324,SLC,ATL,40,215.0,176.0,1590,615
14,2015,1,1,DL,2440,SEA,MSP,40,189.0,166.0,1399,549
15,2015,1,1,AS,108,ANC,SEA,45,204.0,173.0,1448,509
16,2015,1,1,DL,1560,ANC,SEA,45,210.0,171.0,1448,515
17,2015,1,1,UA,1197,SFO,IAH,48,218.0,199.0,1635,626
18,2015,1,1,AS,122,ANC,PDX,50,215.0,187.0,1542,525
19,2015,1,1,DL,1670,PDX,MSP,50,193.0,171.0,1426,603
20,2015,1,1,NK,520,LAS,MCI,55,162.0,128.0,1139,537
21,2015,1,1,AA,371,SEA,MIA,100,338.0,311.0,2724,938
22,2015,1,1,NK,214,LAS,DFW,103,147.0,128.0,1055,530
23,2015,1,1,AA,115,LAX,MIA,105,286.0,255.0,2342,851
24,2015,1,1,DL,1450,LAS,MSP,105,183.0,150.0,1299,608
25,2015,1,1,UA,1545,LAX,IAH,115,183.0,156.0,1379,618
26,2015,1,1,AS,130,FAI,SEA,115,213.0,186.0,1533,548
27,2015,1,1,NK,597,MSP,FLL,115,207.0,166.0,1487,542
28,2015,1,1,US,413,LAS,CLT,120,245.0,205.0,1916,825
29,2015,1,1,AA,2392,DEN,MIA,120,227.0,188.0,1709,707
30,2015,1,1,NK,168,PHX,ORD,125,204.0,156.0,1440,549
31,2015,1,1,AA,2211,PHX,MIA,127,239.0,217.0,1972,726
32,2015,1,1,AS,136,ANC,SEA,135,205.0,,1448,600
33,2015,1,1,DL,95,SLC,ATL,140,215.0,182.0,1590,715
34,2015,1,1,NK,298,LAS,IAH,144,170.0,148.0,1222,634
35,2015,1,1,HA,17,LAS,HNL,145,370.0,361.0,2762,555
36,2015,1,1,US,617,ANC,PHX,152,323.0,298.0,2552,915
37,2015,1,1,UA,1528,SJU,EWR,154,255.0,220.0,1608,509
38,2015,1,1,AS,134,ANC,SEA,155,218.0,170.0,1448,633
39,2015,1,1,B6,304,SJU,JFK,155,235.0,231.0,1598,450
40,2015,1,1,NK,451,PBG,FLL,155,208.0,174.0,1334,523
41,2015,1,1,NK,972,PHX,DFW,159,123.0,103.0,868,502
